
******************************directory****************************
spec_dir: /home/cuihongwei/experiment/mcpat-gem5-master/spec2006
run_dir:  /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249/run
gem5_dir: /home/cuihongwei/experiment/experiment-gem5/raw-gem5
gem5_output_dir: /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249
benchmark_output:/home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249

******************************benchmark****************************
target:     401.bzip2
executable: bzip2
args:       chicken.jpg 30
input:      
output:     /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249/run/chicken.jpg.out
errout:     /home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249/run/chicken.jpg.err

******************************gem5****************************
arch:       /home/cuihongwei/experiment/experiment-gem5/raw-gem5/build/ARM/gem5.opt
config:     /home/cuihongwei/experiment/experiment-gem5/raw-gem5/configs/example/se.py
args:       --simpoint-profile --simpoint-interval=100000000 --maxinsts=900000000000 --cpu-type=NonCachingSimpleCPU --mem-type=SimpleMemory --mem-size=8GB

******************************simulation****************************
start time:(year-mon-day hour-minute-second)19-05-17 23-02-49
gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 compiled May 17 2019 22:58:52
gem5 started May 17 2019 23:02:50
gem5 executing on mprc-R730, pid 44708
command line: /home/cuihongwei/experiment/experiment-gem5/raw-gem5/build/ARM/gem5.opt --outdir=/home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249 --debug-flags=ShowRunning /home/cuihongwei/experiment/experiment-gem5/raw-gem5/configs/example/se.py --simpoint-profile --simpoint-interval=100000000 --maxinsts=900000000000 --cpu-type=NonCachingSimpleCPU --mem-type=SimpleMemory --mem-size=8GB --cmd=bzip2 '--options=chicken.jpg 30' --output=/home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249/run/chicken.jpg.out --input= --errout=/home/cuihongwei/experiment/simpoint/401.bzip2/arm-401.bzip2-input2-190517-230249/run/chicken.jpg.err

Global frequency set at 1000000000000 ticks per second
**** REAL SIMULATION ****
      0: system.cpu: Running Insts:               0
5000009500: system.cpu: Running Insts:        10000000
10000011000: system.cpu: Running Insts:        20000000
15000011000: system.cpu: Running Insts:        30000000
20000011500: system.cpu: Running Insts:        40000000
25000011500: system.cpu: Running Insts:        50000000
30000011500: system.cpu: Running Insts:        60000000
35000011500: system.cpu: Running Insts:        70000000
40000011500: system.cpu: Running Insts:        80000000
45000011500: system.cpu: Running Insts:        90000000
50000011500: system.cpu: Running Insts:       100000000
55000011500: system.cpu: Running Insts:       110000000
60000011500: system.cpu: Running Insts:       120000000
65000011500: system.cpu: Running Insts:       130000000
70000011500: system.cpu: Running Insts:       140000000
75000011500: system.cpu: Running Insts:       150000000
80000011500: system.cpu: Running Insts:       160000000
85000011500: system.cpu: Running Insts:       170000000
90000011500: system.cpu: Running Insts:       180000000
95000011500: system.cpu: Running Insts:       190000000
100000011500: system.cpu: Running Insts:       200000000
105000011500: system.cpu: Running Insts:       210000000
110000011500: system.cpu: Running Insts:       220000000
115000011500: system.cpu: Running Insts:       230000000
120000011500: system.cpu: Running Insts:       240000000
125000011500: system.cpu: Running Insts:       250000000
130000011500: system.cpu: Running Insts:       260000000
135000011500: system.cpu: Running Insts:       270000000
140000011500: system.cpu: Running Insts:       280000000
145000011500: system.cpu: Running Insts:       290000000
150000011500: system.cpu: Running Insts:       300000000
155000011500: system.cpu: Running Insts:       310000000
160000011500: system.cpu: Running Insts:       320000000
165000011500: system.cpu: Running Insts:       330000000
